leadName,address,phone,website,email,customer_feedBack,followUpDetail
Asghar,abcjhsjhsgfjs,74582754272,abc,abc@gmail.com,onGoing,
Asghar,abcjhsjhsgfjs,74582754273,abc,abc@gmail.com,onGoing,
Asghar,abcjhsjhsgfjs,74582754273,abc,abc@gmail.com,followUp,hello
ali,abcjhsjhsgfjs,74582754274,abc,abc@gmail.com,followUp,hello
Asghar,abcjhsjhsgfjs,74582754275,abc,abc@gmail.com,followUp,hello
memon,abcjhsjhsgfjs,74582754276,abc,abc@gmail.com,followUp,hello
abdul,abcjhsjhsgfjs,74582754277,abc,abc@gmail.com,followUp,hello
Rehamn,abcjhsjhsgfjs,74582754278,abc,abc@gmail.com,followUp,hello
Muneeb,abcjhsjhsgfjs,74582754279,abc,abc@gmail.com,followUp,hello
sikander,abcjhsjhsgfjs,74582754280,abc,abc@gmail.com,followUp,hello
Asghar,abcjhsjhsgfjs,74582754281,abc,abc@gmail.com,followUp,hello
Asghar,abcjhsjhsgfjs,74582754282,abc,abc@gmail.com,followUp,hello
Asghar,abcjhsjhsgfjs,74582754283,abc,abc@gmail.com,followUp,hello
Asghar,abcjhsjhsgfjs,74582754284,abc,abc@gmail.com,followUp,hello
